MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2443685	5830411N06Rik	RIKEN cDNA 5830411N06 gene	7		external side of plasma membrane	is a part of gamma-delta T cell		IDA		J:137854 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		external side of plasma membrane			IDA		J:200990 	
MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17		external side of plasma membrane			IDA		J:150920 	
MGI:107704	Abcg1	ATP binding cassette subfamily G member 1	17		external side of plasma membrane			ISO	P45844 	J:164563 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		external side of plasma membrane			ISO	P12821 	J:164563 	
MGI:87916	Ada	adenosine deaminase	2		external side of plasma membrane			IBA	PTN000150944 	J:161428 	
MGI:87916	Ada	adenosine deaminase	2		external side of plasma membrane			ISO	P00813 	J:164563 	
MGI:104731	Adam4	a disintegrin and metallopeptidase domain 4	12		external side of plasma membrane			IDA		J:149644 	
MGI:2676316	Adam6a	a disintegrin and metallopeptidase domain 6A	12		external side of plasma membrane			IDA		J:149644 	
MGI:105376	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	8		intrinsic component of external side of plasma membrane			IDA		J:143698 	
MGI:105377	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	11	NOT	external side of plasma membrane	happens in fibroblast		IDA		J:109116 	
MGI:105984	Adam24	a disintegrin and metallopeptidase domain 24 (testase 1)	8		external side of plasma membrane			IDA		J:149644 	
MGI:105985	Adam26a	a disintegrin and metallopeptidase domain 26A (testase 3)	8		external side of plasma membrane			IDA		J:149644 	
MGI:2676326	Adam29	a disintegrin and metallopeptidase domain 29	8		external side of plasma membrane			IDA		J:149644 	
MGI:1918328	Adam30	a disintegrin and metallopeptidase domain 30	3		external side of plasma membrane			IDA		J:149644 	
MGI:1917943	Adgra3	adhesion G protein-coupled receptor A3	5		external side of plasma membrane	is a part of testis,is a part of stromal cell		IDA		J:126330 	
MGI:106912	Adgre1	adhesion G protein-coupled receptor E1	17		external side of plasma membrane			IDA		J:83995 J:86281 	
MGI:106912	Adgre1	adhesion G protein-coupled receptor E1	17		external side of plasma membrane	is a part of blood,is a part of blood cell		IDA		J:63425 	
MGI:106912	Adgre1	adhesion G protein-coupled receptor E1	17		external side of plasma membrane	is a part of macrophage		IDA		J:89997 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		external side of plasma membrane		PR:Q62151-10	ISO	Q15109-10 	J:73065 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		external side of plasma membrane		PR:Q62151-1	ISO	Q15109-1 	J:73065 	
MGI:87984	Akp3	alkaline phosphatase 3, intestine, not Mn requiring	1		external side of plasma membrane			ISO	RGD:621650 	J:155856 	
MGI:1313266	Alcam	activated leukocyte cell adhesion molecule	16		external side of plasma membrane	is a part of spleen,is a part of B cell|is a part of spleen,is a part of CD8-positive, alpha-beta T cell|is a part of spleen,is a part of CD4-positive, alpha-beta T cell		IDA		J:40942 	
MGI:1924018	Alpi	alkaline phosphatase, intestinal	1		external side of plasma membrane			ISO	RGD:2099 	J:155856 	
MGI:108440	Amot	angiomotin	X		external side of plasma membrane			ISO	Q4VCS5 	J:73065 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		external side of plasma membrane			IDA		J:196141 	
MGI:5000466	Anpep	alanyl (membrane) aminopeptidase	7		external side of plasma membrane			IDA		J:174203 	
MGI:1916788	Antxr1	anthrax toxin receptor 1	6		external side of plasma membrane			ISO	Q9H6X2 	J:170235 	
MGI:1919164	Antxr2	anthrax toxin receptor 2	5		external side of plasma membrane			IDA		J:197389 	
MGI:96819	Anxa1	annexin A1	19		extrinsic component of external side of plasma membrane			ISO	P04083 	J:164563 	
MGI:106008	Anxa5	annexin A5	3		external side of plasma membrane	is a part of lens fiber		IDA		J:151537 	
MGI:106008	Anxa5	annexin A5	3		external side of plasma membrane			IDA		J:140498 J:155686 J:174697 	
MGI:88057	Apoe	apolipoprotein E	7		extrinsic component of external side of plasma membrane			ISO	RGD:2138 	J:155856 	
MGI:107387	Aqp4	aquaporin 4	18		external side of plasma membrane			ISO	P55087 	J:164563 	
MGI:88077	Arsa	arylsulfatase A	15		extrinsic component of external side of plasma membrane			ISO	RGD:1310381 	J:155856 	
MGI:107545	Art2b	ADP-ribosyltransferase 2b	7		anchored component of external side of plasma membrane			IDA		J:42560 	
MGI:1098567	Astn1	astrotactin 1	1		external side of plasma membrane			IDA		J:161514 	
MGI:1917745	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2	X		external side of plasma membrane			ISO	O75787 	J:164563 	
MGI:88127	B2m	beta-2 microglobulin	2		external side of plasma membrane	is a part of T cell		IDA		J:1767 	
MGI:95705	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	4		external side of plasma membrane			ISO	P15291 	J:164563 	
MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	14		external side of plasma membrane			ISO	P36894 	J:164563 	
MGI:2658978	Btla	B and T lymphocyte associated	16		external side of plasma membrane	is a part of lymphocyte		IDA		J:94873 	
MGI:88252	Calr	calreticulin	8		external side of plasma membrane	is a part of egg cell		IDA		J:92195 	
MGI:1096574	Car4	carbonic anhydrase 4	11		anchored component of external side of plasma membrane			ISO	P22748 	J:164563 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:1349182	Ccl21b	chemokine (C-C motif) ligand 21B (leucine)	4		external side of plasma membrane	is a part of spleen,is a part of T cell		IDA		J:141392 	
MGI:104618	Ccr1	chemokine (C-C motif) receptor 1	9		external side of plasma membrane			ISO	P32246 	J:164563 	
