MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88336	Cd40	CD40 antigen	2		regulation of immunoglobulin secretion			IDA		J:86592 	
MGI:88337	Cd40lg	CD40 ligand	X		regulation of immunoglobulin secretion			IDA		J:86592 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		positive regulation of immunoglobulin secretion	happens in Peyer's patch	PR:000044465	IMP	MGI:5609428 MGI:5609428,MGI:3053071 	J:190980 	
MGI:95797	Gpi1	glucose phosphate isomerase 1	7		positive regulation of immunoglobulin secretion			ISO	P06744 	J:164563 	
MGI:95957	H2-T23	histocompatibility 2, T region locus 23	17		positive regulation of immunoglobulin secretion			ISO	P13747 	J:164563 	
MGI:96548	Il2	interleukin 2	3		positive regulation of immunoglobulin secretion			IMP	MGI:1857191 	J:39989 	
MGI:96557	Il5	interleukin 5	11		positive regulation of immunoglobulin secretion			IGI	Q8BVZ5 	J:132106 	
MGI:96559	Il6	interleukin 6	5		positive regulation of immunoglobulin secretion			ISO	P05231 	J:164563 	
MGI:1924375	Il33	interleukin 33	19		negative regulation of immunoglobulin secretion			IGI	P08226 	J:132106 	
MGI:1924375	Il33	interleukin 33	19		positive regulation of immunoglobulin secretion			IGI	P08226 	J:132106 	
MGI:97879	Rbp4	retinol binding protein 4, plasma	19		positive regulation of immunoglobulin secretion			IDA		J:136442 	
MGI:893577	Stx4a	syntaxin 4A (placental)	7		positive regulation of immunoglobulin secretion			ISO	Q12846 	J:164563 	
MGI:99682	Tmbim6	transmembrane BAX inhibitor motif containing 6	15		negative regulation of immunoglobulin secretion			IMP		J:147348 	
MGI:104798	Tnf	tumor necrosis factor	17		regulation of immunoglobulin secretion			IDA		J:86592 	
MGI:104512	Tnfrsf4	tumor necrosis factor receptor superfamily, member 4	4		positive regulation of immunoglobulin secretion			IDA		J:26926 	
MGI:104511	Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4	1		positive regulation of immunoglobulin secretion			IDA		J:26926 	
MGI:101835	Traf2	TNF receptor-associated factor 2	2		regulation of immunoglobulin secretion			IMP		J:86592 	
MGI:108072	Traf6	TNF receptor-associated factor 6	2		regulation of immunoglobulin secretion			IDA		J:86592 	
MGI:98938	Vpreb3	pre-B lymphocyte gene 3	10		negative regulation of immunoglobulin secretion			ISO	XP_415223 	J:73065 	
MGI:98970	Xbp1	X-box binding protein 1	11		positive regulation of immunoglobulin secretion			IDA		J:215658 	

