ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:11050:1870		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:11974:1868		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:20262:1871		IGH.forP2_08N	0.736842105263158
M05295:78:000000000-BJNBT:1:1102:17527:1874		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:19803:1863		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:12986:1871		IGH.forP1_08N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:11516:1876		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:8699:1845		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:19163:1878		IGH.forP2_08N	0.5789473684210527
M05295:78:000000000-BJNBT:1:1102:16129:1866		IGH.forP1_08N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:20088:1884		IGH.forP2_08N	0.5263157894736843
M05295:78:000000000-BJNBT:1:1102:15414:1884		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:17653:1895		IGH.forP6_12N	0.05555555555555558
M05295:78:000000000-BJNBT:1:1102:20689:1883		IGH.forP4.1_12N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:14911:1879		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:17607:1873		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:19833:1891		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:13882:1874		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:15963:1872		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:16008:1885		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:17707:1886		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:16220:1882		IGH.forP4.2_12N	0.6666666666666667
M05295:78:000000000-BJNBT:1:1102:14019:1893		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:13824:1896		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:13931:1884		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:8610:1888		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:13859:1889		IGH.forP2_08N	0.631578947368421
